EP-COMPARE,GRAPH DETAILS DATA - DO NOT MODIFY,isBarForEveryValue,isStackedBarForEachColumn,isStackedBarForEachRow,is100StackedBarForEachEachColumn,is100StackedBarForEachEachRow,isSideBySideForEachColumn,isSideBySideForEachRow,isSideBySideForTotals,isMonthlyLineForEachColumn,numBottomRowsToExclude,numTopRowsToExclude,numRightColumnsToExclude,numLeftColumnsToExclude,isUnusualTable,isVariableRowCount,isMultipleInstancePerFile,Last Column
Report,Subtable,Show simple bar graphs for every individual value in table ,Stacked bar of values from each column,Stacked bar of values from each row,100% stacked bar of values from each column,100% stacked bar of values from each row,Side-by-side bar of values from each column,Side-by-side bar of values from each row,Side-by-side bar of each value in total section across instance of report in file,Monthly line graph for values from each column,Number of bottom rows to exclude (when using multiple values),"Number of top rows to exclude (not including label, when using multiple values)",Number of columns at right to exclude (when using multiple values),"Number of columns at left to exclude (not including label, when using multiple values)",Unusual table (Special rules),Variable Row Count,Multiple Instances Per File,Last Column
Annual Building Utility Performance Summary,Site and Source Energy,x,,,,,x,x,,,,,,,,,,L
Annual Building Utility Performance Summary,Source to Site Energy Conversion Factors,x,,,,,x,,,,,,,,,,,L
Annual Building Utility Performance Summary,Building Area,x,,,,,x,,,,,1,,,,,,L
Annual Building Utility Performance Summary,End Uses,,x,x,x,x,x,x,,,2,,1,,,,,L
Annual Building Utility Performance Summary,End Uses By Subcategory,,x,x,x,x,x,x,,,,,1,,,,,L
Annual Building Utility Performance Summary,Utility Use Per Conditioned Floor Area,x,x,x,x,x,x,x,,,1,,1,,,,,L
Annual Building Utility Performance Summary,Utility Use Per Total Floor Area,x,x,x,x,x,x,x,,,1,,1,,,,,L
Annual Building Utility Performance Summary,Electric Loads Satisfied,x,,,,,,,,,,,,,x,,,L
Annual Building Utility Performance Summary,On-Site Thermal Sources,x,,,,,x,x,,,1,,,,,,,L
Annual Building Utility Performance Summary,Water Source Summary,x,,,,,,,,,,,,,x,,,L
Annual Building Utility Performance Summary,Comfort and Setpoint Not Met Summary,x,,,,,x,,,,,,,,,,,L
Input Verification and Results Summary,General,x,,,,,,,,,,,,,,,,L
Input Verification and Results Summary,Window-Wall Ratio,x,,,,,x,x,,,1,,,1,,,,L
Input Verification and Results Summary,Skylight-Roof Ratio,x,,,,,x,,,,1,,,,,,,L
Input Verification and Results Summary,Zone Summary,,x,,x,,x,x,,,3,,,,,x,,L
Demand End Use Components Summary,End Uses,,x,x,x,x,x,x,,,2,1,1,,,,,L
Demand End Use Components Summary,End Uses By Subcategory,,x,x,x,x,x,x,,,,,1,,,,,L
Climatic Data Summary,SizingPeriod:DesignDay,x,,,,,,,,,,,,,,x,,L
Climatic Data Summary,Weather Statistics File,x,,,,,,,,,,,,,,x,,L
Envelope Summary,Opaque Exterior,,,,,,x,,,,,,,,,x,,L
Envelope Summary,Fenestration,,,,,,x,,,,3,,,,,x,,L
Shading Summary,Sunlit Fraction,,,,,,x,x,,,,,,,,x,,L
Shading Summary,Window Control,,,,,,x,,,,,,,,,x,,L
Lighting Summary,Interior Lighting,,,,,,x,,,,1,,,,,x,,L
Lighting Summary,Daylighting,,,,,,x,,,,,,,,,x,,L
Lighting Summary,Exterior Lighting,,,,,,x,,,,,,,,,x,,L
Equipment Summary,Central Plant,,,,,,x,,,,,,,,,x,,L
Equipment Summary,Cooling Coils,,,,,,x,,,,,,,,,x,,L
Equipment Summary,Heating Coils,,,,,,x,,,,,,,,,x,,L
Equipment Summary,Fans,,,,,,x,,,,,,,,,x,,L
Equipment Summary,Pumps,,,,,,x,,,,,,,,,x,,L
Equipment Summary,Service Water Heating,,,,,,x,,,,,,,,,x,,L
HVAC Sizing Summary,Zone Cooling,,,,,,x,,,,,,,,,x,,L
HVAC Sizing Summary,Zone Heating,,,,,,x,,,,,,,,,x,,L
HVAC Sizing Summary,System Design Air Flow Rates,,,,,,x,x,,,,,,,,x,,L
System Summary,Economizer,,,,,,x,,,,,,,,,x,,L
System Summary,Demand Controlled Ventilation using Controller:MechanicalVentilation,,,,,,x,,,,,,,,,x,,L
System Summary,Time Not Comfortable Based on Simple ASHRAE 55-2004,,,,,,x,x,,,1,,,,,x,,L
System Summary,Time Setpoint Not Met,,,,,,x,x,,,1,,,,,x,,L
Outdoor Air Summary,Average Outdoor Air During Occupied Hours,,,,,,x,,,,,,,,,x,,L
Outdoor Air Summary,Minimum Outdoor Air During Occupied Hours,,,,,,x,,,,,,,,,x,,L
Object Count Summary,Surfaces by Class,x,,,,,x,x,,,,,,,,,,L
Object Count Summary,HVAC,x,,,,,x,,,,,,,,,,,L
Object Count Summary,Input Fields,x,,,,,x,,,,,,,,,,,L
Component Sizing Summary,AirTerminal:SingleDuct:VAV:Reheat,,,,,,x,,,,,,,,,x,,L
Component Sizing Summary,Coil:Heating:Gas,,,,,,x,,,,,,,,,x,,L
Component Sizing Summary,Branch,,,,,,x,,,,,,,,,x,,L
Component Sizing Summary,AirLoopHVAC,,,,,,x,,,,,,,,,x,,L
Component Sizing Summary,Controller:OutdoorAir,,,,,,x,,,,,,,,,x,,L
Component Sizing Summary,Coil:Cooling:DX:TwoSpeed,,,,,,x,,,,,,,,,x,,L
Component Sizing Summary,Fan:VariableVolume,,,,,,x,,,,,,,,,x,,L
Zone Cooling Summary Monthly,,,,,,,,,x,x,4,,,,,,x,L
Zone Heating Summary Monthly,,,,,,,,,x,x,4,,,,,,x,L
Zone Electric Summary Monthly,,,,,,,,,x,x,4,,,,,,x,L
Space Gains Monthly,,,,,,,,,x,x,4,,,,,,x,L
Peak Space Gains Monthly,,,,,,,,,x,x,4,,,,,,x,L
Space Gain Components At Cooling Peak Monthly,,,,,,,,,x,x,4,,,,,,x,L
Energy Consumption Electricity Natural Gas Monthly,,,,,,,,,x,x,4,,,,,,x,L
End Use EnergyC onsumption Electricity Monthly,,,,,,,,,x,x,4,,,,,,x,L
End Use Energy Consumption Natural Gas Monthly,,,,,,,,,x,x,4,,,,,,x,L
Peak Energy End Use Electricity Part 1 Monthly,,,,,,,,,x,x,4,,,,,,x,L
Peak Energy End Use Electricity Part 2 Monthly,,,,,,,,,x,x,4,,,,,,x,L
Electric Components Of Peak Demand Monthly,,,,,,,,,x,x,4,,,,,,x,L
Peak Energy End Use Natural Gas Monthly,,,,,,,,,x,x,4,,,,,,x,L
Setpoints Not Met With Temperatures Monthly,,,,,,,,,x,x,4,,,,,,x,L
Comfort Report Simple 55 Monthly,,,,,,,,,x,x,4,,,,,,x,L
Occupant Comfort Data Summary Monthly,,,,,,,,,x,x,4,,,,,,x,L
DX Report Monthly,,,,,,,,,x,x,4,,,,,,x,L
Window Report Monthly,,,,,,,,,x,x,4,,,,,,x,L
Window Energy Report Monthly,,,,,,,,,x,x,4,,,,,,x,L
Window Zone Summary Monthly,,,,,,,,,x,x,4,,,,,,x,L
Window Energy Zone Summary Monthly,,,,,,,,,x,x,4,,,,,,x,L
Fan Report Monthly,,,,,,,,,x,x,4,,,,,,x,L
Zone Temperature Oscillation Report Monthly,,,,,,,,,x,x,4,,,,,,x,L
Air Loop System Energy And Water Use Monthly,,,,,,,,,x,x,4,,,,,,x,L
