Hour,Value1,Value2
0,0.01,0.01
1,,0.33
2,0.37,0.37
3,0.66,0.66
4,0.64,0.64
5,0.14,0.14
6,0.32,0.32
7,0.5,0.5
8,0.73,0.73
9,0.89,0.89
10,0.86,0.86
11,0.6,0.6
12,0.06,0.06
13,0.67,0.67
14,0.78,0.78
15,0.53,0.53
16,0.33,0.33
17,0.13,0.13
18,0.26,0.26
19,0.83,0.83
20,0.61,0.61
21,0.49,0.49
22,0.35,0.35
23,0.03,0.03
24,0.03,0.03
25,0.04,0.04
26,0.67,0.67
27,0.9,0.9
28,0.09,0.09
29,0.1,0.1
30,0.94,0.94
31,0.96,0.96
32,0.11,0.11
33,0.77,0.77
34,0.99,0.99
35,0.9,0.9
36,0.66,0.66
37,0.89,0.89
38,0.76,0.76
39,0.84,0.84
40,0.2,0.2
41,0.94,0.94
42,0.09,0.09
43,0.26,0.26
44,0.77,0.77
45,0.65,0.65
46,0.04,0.04
47,0.98,0.98
48,0.65,0.65
49,0.87,0.87
50,0.06,0.06
51,0.33,0.33
52,0.29,0.29
53,0.28,0.28
54,0.83,0.83
55,0.65,0.65
56,0.53,0.53
57,0.62,0.62
58,0.14,0.14
59,0.38,0.38
60,0.63,0.63
61,0.52,0.52
62,0.13,0.13
63,1.0,1.0
64,0.28,0.28
65,0.12,0.12
66,0.22,0.22
67,0.85,0.85
68,0.94,0.94
69,0.89,0.89
70,0.84,0.84
71,0.96,0.96
72,0.17,0.17
73,0.99,0.99
74,0.53,0.53
75,0.12,0.12
76,0.81,0.81
77,0.37,0.37
78,0.68,0.68
79,0.39,0.39
80,0.06,0.06
81,0.27,0.27
82,0.81,0.81
83,0.54,0.54
84,0.01,0.01
85,0.33,0.33
86,0.55,0.55
87,0.31,0.31
88,0.71,0.71
89,0.89,0.89
90,0.94,0.94
91,0.2,0.2
92,0.26,0.26
93,0.15,0.15
94,0.02,0.02
95,0.81,0.81
96,0.84,0.84
97,0.51,0.51
98,0.64,0.64
99,0.38,0.38
100,0.93,0.93
101,0.28,0.28
102,0.91,0.91
103,0.73,0.73
104,0.31,0.31
105,0.53,0.53
106,0.88,0.88
107,0.28,0.28
108,0.06,0.06
109,0.72,0.72
110,0.93,0.93
111,0.37,0.37
112,0.85,0.85
113,0.32,0.32
114,0.23,0.23
115,0.71,0.71
116,0.92,0.92
117,0.26,0.26
118,0.47,0.47
119,0.84,0.84
120,0.12,0.12
121,0.05,0.05
122,0.5,0.5
123,0.68,0.68
124,0.79,0.79
125,0.16,0.16
126,0.52,0.52
127,0.87,0.87
128,0.7,0.7
129,0.84,0.84
130,0.46,0.46
131,0.69,0.69
132,0.1,0.1
133,0.23,0.23
134,0.07,0.07
135,0.26,0.26
136,0.15,0.15
137,0.52,0.52
138,0.7,0.7
139,0.27,0.27
140,0.41,0.41
141,0.63,0.63
142,0.43,0.43
143,0.55,0.55
144,0.41,0.41
145,0.4,0.4
146,0.55,0.55
147,0.55,0.55
148,0.01,0.01
149,0.28,0.28
150,0.16,0.16
151,0.51,0.51
152,0.85,0.85
153,0.93,0.93
154,0.52,0.52
155,0.63,0.63
156,0.39,0.39
157,0.22,0.22
158,0.47,0.47
159,0.63,0.63
160,0.39,0.39
161,0.57,0.57
162,0.19,0.19
163,0.38,0.38
164,0.08,0.08
165,0.85,0.85
166,0.67,0.67
167,0.36,0.36
168,0.83,0.83
169,0.78,0.78
170,0.95,0.95
171,0.15,0.15
172,0.99,0.99
173,0.82,0.82
174,0.03,0.03
175,0.89,0.89
176,0.71,0.71
177,0.11,0.11
178,0.16,0.16
179,0.56,0.56
180,0.01,0.01
181,0.11,0.11
182,0.04,0.04
183,0.28,0.28
184,0.02,0.02
185,0.98,0.98
186,0.99,0.99
187,0.71,0.71
188,0.33,0.33
189,0.07,0.07
190,0.9,0.9
191,0.11,0.11
192,0.66,0.66
193,0.93,0.93
194,0.37,0.37
195,0.38,0.38
196,0.82,0.82
197,0.86,0.86
198,0.73,0.73
199,0.38,0.38
200,0.37,0.37
201,0.94,0.94
202,0.02,0.02
203,0.11,0.11
204,0.3,0.3
205,0.47,0.47
206,0.01,0.01
207,0.7,0.7
208,0.64,0.64
209,0.6,0.6
210,0.38,0.38
211,0.18,0.18
212,0.88,0.88
213,0.66,0.66
214,0.95,0.95
