1.0.0.023,1.0.1.041
198,198
'Absorption Chiller Cond Energy','Chiller Cond Heat Trans'
'Absorption Chiller Cond Heat Trans Rate','Chiller Cond Heat Trans Rate'
'Absorption Chiller Cond Water Inlet Temp','Chiller Cond Water Inlet Temp'
'Absorption Chiller Cond Water Mass Flow Rate','Chiller Cond Water Mass Flow Rate'
'Absorption Chiller Cond Water Outlet Temp','Chiller Cond Water Outlet Temp'
'Absorption Chiller Evap Energy','Chiller Evap Heat Trans'
'Absorption Chiller Evap Heat Trans Rate','Chiller Evap Heat Trans Rate'
'Absorption Chiller Evap Water Inlet Temp','Chiller Evap Water Inlet Temp'
'Absorption Chiller Evap Water Mass Flow Rate','Chiller Evap Water Mass Flow Rate'
'Absorption Chiller Evap Water Outlet Temp','Chiller Evap Water Outlet Temp'
'Absorption Chiller Pumping Energy','Chiller Electric Consumption'
'Absorption Chiller Pumping Power','Chiller Electric Power'
'Absorption Chiller Steam Energy','Chiller Steam Consumption'
'Absorption Chiller Steam Heat Trans Rate','Chiller Steam Consumption Rate'
'Absorption Chiller Steam Mass Flow Rate','Chiller Steam Mass Flow Rate'
'BLAST Chiller Cond Heat Trans','Chiller Cond Heat Trans'
'BLAST Chiller Cond Heat Trans Rate','Chiller Cond Heat Trans Rate'
'BLAST Chiller Cond Water Inlet Temp','Chiller Cond Water Inlet Temp'
'BLAST Chiller Cond Water Mass Flow Rate','Chiller Cond Water Mass Flow Rate'
'BLAST Chiller Cond Water Outlet Temp','Chiller Cond Water Outlet Temp'
'BLAST Chiller Evap Heat Trans','Chiller Evap Heat Trans'
'BLAST Chiller Evap Heat Trans Rate','Chiller Evap Heat Trans Rate'
'BLAST Chiller Evap Water Inlet Temp','Chiller Evap Water Inlet Temp'
'BLAST Chiller Evap Water Mass Flow Rate','Chiller Evap Water Mass Flow Rate'
'BLAST Chiller Evap Water Outlet Temp','Chiller Evap Water Outlet Temp'
'Boiler Energy','Boiler Heating Output Energy'
'Boiler Inlet Temp','Boiler Water Inlet Temp'
'Boiler Load','Boiler Heating Output Rate'
'Boiler Mass Flow Rate','Boiler Water Mass Flow Rate'
'Boiler Outlet Temp','Boiler Water Outlet Temp'
'Condenser Loop Bypass Fraction','<DELETE>'
'Condenser Loop Inlet Temperature','Cond Loop Inlet Temp'
'Condenser Loop Outlet Temperature','Cond Loop Outlet Temp'
'Const COP Chiller Cond Heat Trans','Chiller Cond Heat Trans'
'Const COP Chiller Cond Heat Trans Rate','Chiller Cond Heat Trans Rate'
'Const COP Chiller Cond Water Inlet Temp','Chiller Cond Water Inlet Temp'
'Const COP Chiller Cond Water mass flow rate','Chiller Cond Water Mass Flow Rate'
'Const COP Chiller Cond Water Outlet Temp','Chiller Cond Water Outlet Temp'
'Const COP Chiller Electric Consumption','Chiller Electric Consumption'
'Const COP Chiller Electric Power','Chiller Electric Power'
'Const COP Chiller Evap Heat Trans','Chiller Evap Heat Trans'
'Const COP Chiller Evap Heat Trans Rate','Chiller Evap Heat Trans Rate'
'Const COP Chiller Evap Water Inlet Temp','Chiller Evap Water Inlet Temp'
'Const COP Chiller Evap Water mass flow rate','Chiller Evap Water Mass Flow Rate'
'Const COP Chiller Evap Water Outlet Temp','Chiller Evap Water Outlet Temp'
'Diesel Gen. Energy','Generator Electric Energy Produced'
'Diesel Gen. Exhaust Energy Recovery Available','Generator Exhaust Heat Recovery'
'Diesel Gen. Exhaust Heat Recovery Available','Generator Exhaust Heat Recovery Rate'
'Diesel Gen. Exhaust Stack Temp','Generator Exhaust Stack Temp'
'Diesel Gen. Fuel Energy Use Rate','Generator Diesel Consumption Rate'
'Diesel Gen. Fuel Energy Used','Generator Diesel Consumption'
'Diesel Gen. Fuel Used','Generator Diesel Mass Flow Rate'
'Diesel Gen. Heat Rec. Inlet Temp','Generator Heat Recovery Inlet Temp'
'Diesel Gen. Heat Rec. Mass Flow','Generator Heat Recovery Mass Flow Rate'
'Diesel Gen. Heat Rec. Outlet Temp','Generator Heat Recovery Outlet Temp'
'Diesel Gen. Jacket Energy Recovery Available','Generator Jacket Heat Recovery'
'Diesel Gen. Jacket Heat Recovery Available','Generator Jacket Heat Recovery Rate'
'Diesel Gen. Lube Energy Recovery Available','Generator Lube Heat Recovery'
'Diesel Gen. Lube Heat Recovery Available','Generator Lube Heat Recovery Rate'
'Diesel Gen. Power','Generator Electric Power Produced'
'Diesel Gen. Total Energy Recovery Available','Generator Total Heat Recovery'
'Diesel Gen. Total Heat Recovery Available','Generator Total Heat Recovery Rate'
'DX Coil Electric Consumption','DX Cooling Coil Electric Consumption'
'DX Coil Electric Power','DX Cooling Coil Electric Power'
'DXSystem RunTime Fraction','DXSystem Part-Load Ratio'
'Electric Chiller Cond Air Inlet Temp','<DELETE>'
'Electric Chiller Cond Heat Trans','Chiller Cond Heat Trans'
'Electric Chiller Cond Heat Trans Rate','Chiller Cond Heat Trans Rate'
'Electric Chiller Cond Water Inlet Temp','Chiller Cond Water Inlet Temp'
'Electric Chiller Cond Water Mass Flow Rate','Chiller Cond Water Mass Flow Rate'
'Electric Chiller Cond Water Outlet Temp','Chiller Cond Water Outlet Temp'
'Electric Chiller Energy','Chiller Electric Consumption'
'Electric Chiller Evap Heat Trans','Chiller Evap Heat Trans'
'Electric Chiller Evap Heat Trans Rate','Chiller Evap Heat Trans Rate'
'Electric Chiller Evap Water Inlet Temp','Chiller Evap Water Inlet Temp'
'Electric Chiller Evap Water Mass Flow Rate','Chiller Evap Water Mass Flow Rate'
'Electric Chiller Evap Water Outlet Temp','Chiller Evap Water Outlet Temp'
'Electric Chiller Power','Chiller Electric Power'
'EngineDriven Chiller Cond Heat Trans','Chiller Cond Heat Trans'
'EngineDriven Chiller Cond Heat Trans Rate','Chiller Cond Heat Trans Rate'
'EngineDriven Chiller Cond Water Inlet Temp','Chiller Cond Water Inlet Temp'
'EngineDriven Chiller Cond Water Mass Flow Rate','Chiller Cond Water Mass Flow Rate'
'EngineDriven Chiller Cond Water Outlet Temp','Chiller Cond Water Outlet Temp'
'EngineDriven Chiller Energy','Chiller Shaft Energy'
'EngineDriven Chiller Evap Heat Trans','Chiller Evap Heat Trans'
'EngineDriven Chiller Evap Heat Trans Rate','Chiller Evap Heat Trans Rate'
'EngineDriven Chiller Evap Water Inlet Temp','Chiller Evap Water Inlet Temp'
'EngineDriven Chiller Evap Water Mass Flow Rate','Chiller Evap Water Mass Flow Rate'
'EngineDriven Chiller Evap Water Outlet Temp','Chiller Evap Water Outlet Temp'
'EngineDriven Chiller Exhaust Energy Recovery Available','Chiller Exhaust Heat Recovery'
'EngineDriven Chiller Exhaust Heat Recovery Available','Chiller Exhaust Heat Recovery Rate'
'EngineDriven Chiller Exhaust Stack Temp','Chiller Exhaust Stack Temp'
'EngineDriven Chiller Fuel Energy Use Rate','Chiller Gas Consumption Rate'
'EngineDriven Chiller Fuel Energy Used','Chiller Gas Consumption'
'EngineDriven Chiller Fuel Used','Chiller Gas Mass Flow Rate'
'EngineDriven Chiller Heat Rec. Inlet Temp','Chiller Heat Recovery Inlet Temp'
'EngineDriven Chiller Heat Rec. Mass Flow','Chiller Heat Recovery Mass Flow Rate'
'EngineDriven Chiller Heat Rec. Outlet Temp','Chiller Heat Recovery Outlet Temp'
'EngineDriven Chiller Jacket Energy Recovery Available','Chiller Jacket Heat Recovery'
'EngineDriven Chiller Jacket Heat Recovery Available','Chiller Jacket Heat Recovery Rate'
'EngineDriven Chiller Lube Energy Recovery Available','Chiller Lube Heat Recovery'
'EngineDriven Chiller Lube Heat Recovery Available','Chiller Lube Heat Recovery Rate'
'EngineDriven Chiller Power','Chiller Shaft Power'
'EngineDriven Chiller Total Energy Recovery Available','Chiller Total Heat Recovery'
'EngineDriven Chiller Total Heat Recovery Available','Chiller Total Heat Recovery Rate'
'ExteriorEq Misc-Electricity Consumption','ExteriorEq Misc-Electric Consumption'
'Fuel Consumption','Boiler Gas Consumption'
'Fuel Consumption Rate','Boiler Gas Consumption Rate'
