7.2.0.006,8.0.0,Transition notes
2796,2796, These numbers should be the number of report variables in the following list (including deletes). Two columns/numbers.
Air Chiller Defrost Electric Consumption,Refrigeration Zone Air Chiller Defrost Electric Energy,
Air Chiller Defrost Electric Power,Refrigeration Zone Air Chiller Defrost Electric Power,
Air Chiller Fans Electric Consumption,Refrigeration Zone Air Chiller Fan Electric Energy,
Air Chiller Fans Electric Power,Refrigeration Zone Air Chiller Fan Electric Power,
Air Chiller Frost Accumulation,Refrigeration Zone Air Chiller Frost Accumulation Mass,
Air Chiller Heaters Electric Consumption,Refrigeration Zone Air Chiller Heater Electric Energy,
Air Chiller Heaters Electric Power,Refrigeration Zone Air Chiller Heater Electric Power,
Air Chiller Heating Zone Credit Energy,Refrigeration Zone Air Chiller Zone Heating Energy,
Air Chiller Heating Zone Credit Rate,Refrigeration Zone Air Chiller Zone Heating Rate,
Air Chiller Latent Cooling Energy,Refrigeration Zone Air Chiller Latent Cooling Energy,
Air Chiller Latent Cooling Rate,Refrigeration Zone Air Chiller Latent Cooling Rate,
Air Chiller Sensible Cooling Energy,Refrigeration Zone Air Chiller Sensible Cooling Energy,
Air Chiller Sensible Cooling Rate,Refrigeration Zone Air Chiller Sensible Cooling Rate,
Air Chiller Sensible Cooling Zone Credit Energy,Refrigeration Zone Air Chiller Zone Sensible Cooling Energy,
Air Chiller Sensible Cooling Zone Credit Rate,Refrigeration Zone Air Chiller Zone Sensible Cooling Rate,
Air Chiller Sensible Heat Ratio,Refrigeration Zone Air Chiller Sensible Heat Ratio,
Air Chiller Total Auxiliary Electric Consumption,Refrigeration Zone Air Chiller Total Electric Energy,
Air Chiller Total Auxiliary Electric Power,Refrigeration Zone Air Chiller Total Electric Power,
Air Chiller Total Cooling Energy,Refrigeration Zone Air Chiller Total Cooling Energy,
Air Chiller Total Cooling Rate,Refrigeration Zone Air Chiller Total Cooling Rate,
Air Chiller Total Cooling Zone Credit Energy,Refrigeration Zone Air Chiller Zone Total Cooling Energy,
